,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
142,4820.64102683,4199.35897422,4308.84615399,4293.20512828,4631.15384699,4272.94871802,4163.71794851,4081.92307658,4153.07692287,4521.41025697,4335.00000021,3768.33333229,4082.30769196,4574.61538531
143,4809.23077042,4200.12820499,4296.41025648,4294.87179495,4627.17948795,4269.35897443,4167.43589723,4071.79487145,4143.205128,4515.38461594,4313.97435912,3761.02563999,4067.30769189,4560.12820576
144,4802.17948836,4198.07692294,4291.79487187,4287.82051289,4615.25641102,4271.41025648,4168.97435884,4056.15384574,4131.79487152,4508.20512876,4294.87179495,3758.33333229,4063.07692266,4546.02564165
145,4796.53846272,4197.17948704,4294.2307693,4288.20512828,4623.58974436,4277.94871802,4167.3076921,4042.17948677,4129.8717946,4507.435898,4294.61538469,3775.64102467,4069.99999966,4544.61538524
146,4789.35897547,4198.97435884,4297.30769238,4296.53846161,4648.84615468,4278.58974366,4167.05128185,4035.89743541,4134.48717921,4511.15384671,4303.58974373,3798.46153749,4076.53846119,4549.8717955
147,4790.3846165,4205.64102558,4304.48717963,4306.66666681,4662.05128296,4281.15384623,4166.28205108,4040.64102523,4139.35897415,4518.33333389,4313.84615399,3819.61538372,4085.25640991,4549.8717955
148,4798.97436016,4218.58974352,4314.61538476,4319.23076937,4658.20512904,4288.84615392,4164.61538441,4048.33333292,4142.82051262,4523.58974415,4318.4615386,3844.35897353,4092.17948684,4544.61538524
149,4802.56410375,4232.05128199,4320.51282066,4327.82051296,4653.97435981,4292.94871802,4163.46153826,4054.10256369,4145.64102544,4526.41025697,4322.30769245,3871.66666584,4102.05128171,4543.07692371
150,4795.76923195,4234.61538462,4321.53846168,4327.82051296,4645.00000084,4293.46153853,4166.28205108,4055.89743548,4145.51282031,4527.17948774,4325.64102578,3892.43589668,4113.58974332,4544.8717955
151,4792.69230888,4238.20512821,4329.23076937,4332.05128219,4647.94871879,4300.12820527,4168.71794858,4060.38461497,4147.3076921,4530.12820576,4325.76923091,3913.07692239,4124.48717921,4550.64102627
152,4791.15384727,4246.02564103,4336.15384637,4339.10256431,4673.5897445,4307.94871809,4169.99999986,4067.43589702,4148.205128,4535.38461601,4322.69230784,3937.30769162,4135.38461518,4551.92307755
153,4780.51282163,4243.84615385,4333.07692329,4336.53846175,4687.43589834,4314.87179501,4167.05128185,4072.82051248,4150.25641005,4541.53846217,4328.58974373,3938.20512751,4146.79487159,4546.15384678
154,4778.71794983,4245.76923077,4334.61538483,4328.4615386,4663.46153937,4323.4615386,4164.87179467,4083.46153812,4161.53846133,4553.33333396,4338.97435919,3912.692307,4159.1025639,4551.41025704
155,4793.7179499,4269.61538469,4349.10256431,4337.82051303,4655.25641109,4329.23076937,4165.89743569,4094.10256376,4170.64102551,4562.17948788,4337.94871816,3907.43589674,4173.20512807,4561.79487242
156,4790.00000112,4286.53846161,4358.71794893,4365.51282079,4687.05128296,4330.38461553,4163.71794851,4089.7435894,4166.79487159,4551.79487242,4330.12820527,3929.99999931,4179.2307691,4551.92307755
157,4773.58974471,4290.1282052,4357.17948739,4387.43589772,4655.89743674,4323.71794886,4162.17948697,4077.43589709,4158.58974339,4539.61538524,4321.02564117,3940.38461476,4171.15384602,4532.94871858
158,4781.2820524,4307.69230784,4361.66666688,4395.38461567,4588.33333403,4318.07692322,4164.9999998,4069.23076882,4149.1025639,4537.94871858,4307.56410271,3943.33333271,4170.64102551,4530.64102627
159,4790.76923188,4321.92307707,4369.74359003,4403.58974394,4612.69230846,4325.00000014,4166.41025621,4064.48717907,4141.15384595,4533.07692371,4292.82051289,3962.56410194,4181.02564089,4531.28205191
160,4780.25641137,4317.30769245,4369.23076951,4416.53846189,4687.43589834,4335.76923098,4164.61538441,4066.02564061,4146.28205108,4531.41025704,4278.07692315,3979.48717894,4182.82051269,4522.69230825
161,4768.58974471,4309.3589745,4363.97435919,4415.12820548,4705.00000098,4336.28205149,4167.05128185,4068.46153805,4149.23076903,4528.33333389,4252.43589744,3978.97435842,4173.84615371,4511.41025697
162,4766.41025753,4311.66666681,4368.58974387,4416.02564138,4688.97435988,4337.05128226,4169.2307691,4067.56410215,4142.05128185,4518.33333389,4236.41025641,3983.71794817,4174.74358961,4501.92307748
163,4762.05128317,4318.33333348,4377.69230797,4425.76923112,4691.02564193,4344.61538483,4166.92307672,4069.23076882,4143.46153826,4518.07692364,4230.25641019,3997.0512815,4180.25641012,4495.25641075
164,4759.74359086,4326.53846168,4382.17948746,4428.71794907,4706.41025739,4350.00000021,4167.43589723,4073.97435863,4155.89743569,4527.94871851,4211.41025634,4009.23076875,4183.46153833,4493.07692357
165,4764.10256522,4332.17948732,4384.74359003,4429.61538497,4706.9230779,4351.92307714,4170.12820499,4075.38461504,4163.71794851,4532.43589807,4209.74358968,4024.74358926,4194.99999986,4494.35897485
166,4765.51282163,4333.46153867,4386.53846182,4439.74359016,4672.56410347,4352.56410278,4166.53846133,4074.23076889,4163.58974339,4535.51282114,4226.53846147,4041.28205087,4211.6666666,4498.07692364
167,4759.35897547,4340.3846156,4384.87179515,4443.33333375,4602.05128282,4343.07692329,4164.74358954,4069.48717907,4153.84615364,4533.84615448,4215.64102558,4052.05128164,4222.82051275,4495.76923126
168,4757.94871899,4353.20512842,4385.89743618,4444.23076965,4573.58974429,4337.94871816,4165.76923056,4069.7435894,4146.53846133,4522.69230825,4197.05128192,4066.92307651,4222.05128199,4489.23076972
169,4753.84615489,4348.20512842,4386.9230772,4450.64102606,4647.69230853,4346.66666688,4163.84615364,4076.53846119,4151.41025621,4518.46153902,4207.30769224,4079.23076889,4207.94871788,4485.38461587
