,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
141,4236.28205129,4251.28205129,4253.33333334,4240.8974359,4269.10256418,4246.15384616,4182.05128192,4227.94871788,4184.10256397,4271.79487187,4231.53846147,4194.74358961,4236.92307693,4214.23076917
142,4238.71794872,4271.923077,4251.28205129,4253.71794872,4238.84615385,4236.28205129,4183.84615371,4229.10256404,4182.94871781,4267.56410264,4230.64102558,4201.53846147,4245.38461539,4229.87179481
143,4278.84615392,4309.23076937,4294.48717956,4293.46153853,4255.76923077,4277.17948725,4180.25641012,4279.87179495,4233.33333327,4308.20512835,4265.25641026,4246.28205129,4299.2307693,4282.17948725
144,4206.53846147,4219.48717942,4226.28205122,4219.87179481,4209.99999993,4197.4358973,4179.35897422,4218.4615384,4171.15384602,4253.71794872,4206.15384609,4169.61538448,4227.43589737,4204.23076917
145,4138.07692287,4139.35897415,4143.07692287,4145.38461518,4147.17948697,4117.69230742,4183.46153833,4123.84615357,4078.46153812,4173.46153833,4131.53846126,4098.33333299,4144.87179467,4121.92307665
146,4126.53846126,4138.205128,4119.8717946,4129.8717946,4121.15384588,4107.43589716,4183.84615371,4106.92307665,4064.87179446,4145.76923056,4102.30769196,4090.38461504,4133.84615357,4118.71794844
147,4080.89743555,4122.82051255,4091.28205094,4098.20512786,4071.66666632,4091.15384581,4181.28205115,4085.38461504,4039.35897395,4119.35897408,4063.07692266,4049.23076882,4094.10256376,4084.10256376
148,4025.3846149,4071.15384581,4042.82051241,4051.410256,4011.53846106,4035.25640977,4184.99999986,4032.05128157,3976.53846099,4083.97435863,4023.71794824,3987.30769176,4038.07692266,4012.43589695
149,3960.38461476,3982.17948663,3969.48717887,3976.66666611,3944.23076861,3955.64102502,4187.94871781,3963.46153784,3911.02564033,3999.10256355,3958.33333271,3913.84615316,3980.12820458,3937.94871726
150,3969.35897374,3976.1538456,3975.64102509,3958.84615322,3954.35897374,3965.38461476,4186.66666653,3981.41025586,3944.48717887,3984.35897381,3952.05128143,3917.05128136,3997.9487174,3953.20512758
151,3972.30769176,3980.2564097,3975.64102509,3947.30769169,3952.56410194,3962.69230707,4187.69230756,3973.33333278,3938.46153784,3981.02564047,3949.10256348,3915.51281982,4000.38461483,3954.61538399
152,3971.53846099,3981.92307637,3969.74358912,3963.46153784,3934.61538392,3957.30769169,4187.94871781,3963.46153784,3922.82051213,3986.92307637,3960.89743528,3915.12820444,3994.48717894,3952.69230707
153,3932.82051213,3940.51281989,3934.61538392,3938.20512751,3899.99999924,3922.56410187,4187.05128192,3921.7948711,3884.74358898,3945.12820451,3933.20512751,3888.84615309,3947.56410194,3919.23076854
154,3964.99999938,3973.71794817,3963.46153784,3958.20512758,3954.10256348,3939.87179425,4185.89743576,3945.38461476,3910.38461469,3970.51281989,3955.76923015,3930.64102495,3983.71794817,3954.48717887
155,3960.51281989,3986.28205073,3964.74358912,3962.94871733,3967.43589681,3931.7948711,4185.51282038,3944.87179425,3909.35897367,3975.2564097,3941.66666605,3924.87179418,3984.87179432,3953.58974297
156,3955.64102502,3998.33333278,3983.71794817,3981.92307637,3965.89743528,3946.66666605,4185.89743576,3951.41025579,3920.25640957,3984.74358919,3947.69230707,3918.5897429,3974.35897381,3953.97435835
157,3898.97435821,3929.23076854,3921.15384546,3909.35897367,3900.12820437,3891.53846078,4189.35897422,3891.15384539,3860.89743507,3926.02564033,3903.33333257,3861.28205045,3918.07692239,3892.05128129
158,3868.97435814,3883.20512744,3871.79487096,3862.69230686,3874.10256334,3855.1282043,4189.35897422,3858.71794789,3820.51281961,3881.53846078,3870.64102481,3837.69230679,3898.33333257,3864.99999917
159,3853.97435814,3878.58974283,3861.28205045,3865.1282043,3858.84615302,3832.56410166,4188.07692294,3847.94871712,3812.69230679,3863.58974276,3851.66666584,3825.51281961,3883.84615309,3853.84615302
